fixed.acidity,volatile.acidity,residual.sugar,chlorides,total.sulfur.dioxide,density,sulphates,alcohol,good
6.2,0.45,1.6,0.069,15,0.9958,0.56,9.2,No
7.8,0.43,1.9,0.464,67,0.9974,1.28,9.4,No
7.4,0.5,2,0.086,73,0.997,0.57,9.1,No
7.3,0.67,1.8,0.401,51,0.9969,1.14,9.4,No
6.3,0.3,1.8,0.069,61,0.9959,0.78,10.3,No
6.9,0.55,2.2,0.076,40,0.9961,0.59,10.1,No
8.6,0.49,1.9,0.11,136,0.9972,1.95,9.9,No
7.7,0.49,1.9,0.062,31,0.9966,0.64,9.6,No
9.3,0.39,2.1,0.107,125,0.9978,1.22,9.5,No
7,0.62,1.8,0.076,24,0.9978,0.53,9,No
7.9,0.52,1.9,0.079,140,0.9964,0.54,9.5,No
8.6,0.49,1.9,0.11,136,0.9972,1.95,9.9,No
8.6,0.49,2,0.11,133,0.9972,1.98,9.8,No
7.7,0.49,1.9,0.062,31,0.9966,0.64,9.6,No
5,1.02,1.4,0.045,85,0.9938,0.48,10.5,No
4.7,0.6,2.3,0.058,106,0.9932,0.6,12.9,No
6.8,0.775,3,0.102,23,0.9965,0.56,10.7,No
7,0.5,2,0.07,22,0.9963,0.63,9.2,No
7.6,0.9,2.5,0.079,10,0.9967,0.56,9.8,No
8.1,0.545,1.9,0.08,35,0.9972,0.59,9,No
8.3,0.61,2.1,0.084,50,0.9972,0.61,10.2,No
7.8,0.5,1.9,0.075,22,0.9959,0.56,10.4,No
8.1,0.545,1.9,0.08,35,0.9972,0.59,9,No
8.1,0.575,2.1,0.077,65,0.9967,0.51,9.2,No
7.2,0.49,2.2,0.07,36,0.996,0.48,9.4,No
8.1,0.575,2.1,0.077,65,0.9967,0.51,9.2,No
7.8,0.41,1.7,0.467,69,0.9973,1.31,9.3,No
6.2,0.63,1.7,0.088,64,0.9969,0.79,9.3,No
8,0.33,2.5,0.091,80,0.9976,0.8,9.6,No
8.1,0.785,2,0.122,153,0.9969,0.69,9.3,No
7.8,0.56,1.8,0.104,47,0.9964,0.93,9.5,No
8.4,0.62,2.2,0.084,108,0.9964,0.66,9.8,No
8.4,0.6,2.2,0.085,111,0.9964,0.66,9.8,No
10.1,0.31,2.3,0.08,46,0.9988,0.67,9.7,No
7.8,0.56,1.8,0.104,47,0.9964,0.93,9.5,No
9.4,0.4,2.2,0.09,62,0.9966,0.63,10.5,No
8.3,0.54,1.9,0.077,40,0.9978,0.61,10,No
7.8,0.56,2,0.082,28,0.997,0.5,9.4,No
8.8,0.55,2.2,0.119,56,0.9962,0.6,10.9,No
7,0.69,1.8,0.097,89,0.9959,0.54,9.2,No
7.3,1.07,1.7,0.178,89,0.9962,0.57,9,No
8.8,0.55,2.2,0.119,56,0.9962,0.6,10.9,No
7.3,0.695,2.5,0.075,13,0.998,0.52,9.2,No
8,0.71,2.6,0.08,34,0.9976,0.53,9.5,No
7.8,0.5,1.6,0.082,102,0.996,0.48,9.5,No
9,0.62,1.9,0.146,90,0.9984,0.7,9.4,No
8.2,1.33,1.7,0.081,12,0.9964,0.49,10.9,No
8.1,1.33,1.8,0.082,12,0.9964,0.48,10.9,No
8,0.59,1.8,0.065,16,0.9962,0.92,10.5,Yes
6.1,0.38,1.8,0.072,19,0.9955,0.57,9.4,No
8,0.745,2,0.118,134,0.9968,0.66,9.4,No
5.6,0.5,2.3,0.049,99,0.9937,0.63,13,No
5.6,0.5,2.3,0.049,99,0.9937,0.63,13,No
6.6,0.5,1.5,0.06,26,0.9952,0.58,9.8,No
7.9,1.04,2.2,0.084,29,0.9959,0.55,9.9,No
8.4,0.745,1.9,0.09,63,0.9965,0.82,9.6,No
8.3,0.715,1.8,0.089,52,0.9968,0.77,9.5,No
7.2,0.415,2,0.081,45,0.9972,0.64,9.2,No
7.8,0.56,2.1,0.081,105,0.9962,0.54,9.5,No
7.8,0.56,2,0.081,108,0.9962,0.54,9.5,No
8.4,0.745,1.9,0.09,63,0.9965,0.82,9.6,No
8.3,0.715,1.8,0.089,52,0.9968,0.77,9.5,No
5.2,0.34,1.8,0.05,63,0.9916,0.79,14,No
6.3,0.39,1.7,0.066,20,0.9954,0.58,9.4,No
5.2,0.34,1.8,0.05,63,0.9916,0.79,14,No
8.1,0.67,1.8,0.117,141,0.9968,0.62,9.4,No
5.8,0.68,1.8,0.087,94,0.9944,0.52,10,No
7.6,0.49,1.6,0.236,88,0.9968,0.8,9.3,No
6.9,0.49,2.3,0.074,30,0.9959,0.58,10.2,No
8.2,0.4,2.8,0.089,43,0.9975,0.61,10.5,No
7.3,0.33,2.1,0.077,11,0.9958,0.53,10.3,No
9.2,0.52,3.4,0.61,69,0.9996,2,9.4,No
7.5,0.6,1.8,0.095,99,0.995,0.54,10.1,No
7.5,0.6,1.8,0.095,99,0.995,0.54,10.1,No
7.1,0.43,5.5,0.07,129,0.9973,0.72,10.5,No
7.1,0.43,5.5,0.071,128,0.9973,0.71,10.5,No
7.1,0.43,5.5,0.07,129,0.9973,0.72,10.5,No
7.1,0.43,5.5,0.071,128,0.9973,0.71,10.5,No
7.1,0.68,2.2,0.073,22,0.9969,0.5,9.3,No
6.8,0.6,1.9,0.079,86,0.9968,0.57,9.3,No
7.6,0.95,2,0.09,20,0.9959,0.56,9.6,No
7.6,0.68,1.3,0.072,20,0.9965,1.08,9.2,No
7.8,0.53,1.7,0.076,31,0.9964,0.56,10,No
7.4,0.6,7.3,0.07,121,0.9982,0.49,9.4,No
7.3,0.59,7.2,0.07,121,0.9981,0.49,9.4,No
7.8,0.63,1.7,0.1,96,0.9961,0.62,9.5,No
6.8,0.64,2.1,0.085,101,0.9956,0.52,10.2,No
7.3,0.55,1.6,0.072,42,0.9956,0.48,9,No
6.8,0.63,2.1,0.089,44,0.9953,0.55,10.4,No
7.5,0.705,1.8,0.36,63,0.9964,1.59,9.5,No
7.9,0.885,1.8,0.058,8,0.9972,0.33,9.1,No
8,0.42,2,0.073,18,0.9972,0.61,9.2,No
8,0.42,2,0.073,18,0.9972,0.61,9.2,No
7.4,0.62,1.9,0.068,42,0.9961,0.57,11.5,No
7.3,0.38,2,0.08,35,0.9961,0.47,9.5,No
6.9,0.5,1.5,0.085,49,0.9958,0.78,9.5,No
7.3,0.38,2,0.08,35,0.9961,0.47,9.5,No
7.5,0.52,2.3,0.087,38,0.9972,0.61,10.5,No
7,0.805,2.5,0.068,20,0.9969,0.56,9.6,No
8.8,0.61,2.4,0.067,42,0.9969,0.59,9.5,No
8.8,0.61,2.4,0.067,42,0.9969,0.59,9.5,No
8.9,0.61,2,0.27,110,0.9972,1.02,9.3,No
7.2,0.73,2.5,0.076,42,0.9972,0.52,9.3,No
6.8,0.61,1.8,0.077,65,0.9971,0.58,9.3,No
6.7,0.62,1.9,0.079,62,0.997,0.58,9.3,No
8.9,0.31,2,0.111,85,0.9971,0.53,9.7,No
7.4,0.39,2,0.082,67,0.9972,0.55,9.2,No
7.7,0.705,2.6,0.084,26,0.9976,0.49,9.7,No
7.9,0.5,2,0.084,143,0.9968,0.55,9.5,No
7.9,0.49,1.9,0.082,144,0.9968,0.55,9.5,No
8.2,0.5,2.9,0.077,127,0.9976,0.62,9.4,No
6.4,0.37,1.9,0.074,49,0.9974,0.62,9.8,No
6.8,0.63,3.8,0.099,126,0.9969,0.61,9.5,No
7.6,0.55,2.2,0.071,28,0.9964,0.55,9.7,No
7.6,0.55,2.2,0.071,28,0.9964,0.55,9.7,No
7.8,0.59,2,0.074,120,0.9968,0.54,9.4,No
7.3,0.58,2.4,0.074,55,0.9968,0.59,10.2,No
11.5,0.3,2,0.067,27,0.9981,0.97,10.1,No
5.4,0.835,1.2,0.046,93,0.9924,0.85,13,Yes
6.9,1.09,2.1,0.061,31,0.9948,0.43,11.4,No
9.6,0.32,1.4,0.056,24,0.99695,0.82,10.3,Yes
8.8,0.37,2.1,0.097,145,0.9975,1.03,9.3,No
6.8,0.5,1.5,0.075,49,0.99545,0.79,9.5,No
7,0.42,1.6,0.088,39,0.9961,0.55,9.2,No
7,0.43,1.6,0.089,37,0.99615,0.56,9.2,No
12.8,0.3,2.6,0.095,28,0.9994,0.77,10.8,Yes
12.8,0.3,2.6,0.095,28,0.9994,0.77,10.8,Yes
7.8,0.57,1.8,0.069,120,0.99625,0.53,9.3,No
7.8,0.44,2.7,0.1,95,0.9966,0.67,9.4,No
11,0.3,2.1,0.054,19,0.998,0.88,10.5,Yes
9.7,0.53,2,0.039,19,0.99585,0.86,12.4,No
8,0.725,2.8,0.083,62,0.99685,0.56,10,No
11.6,0.44,2.1,0.059,15,0.998,0.67,10.2,No
8.2,0.57,2.2,0.06,65,0.9959,0.43,10.1,No
7.8,0.735,2.4,0.092,41,0.9974,0.71,9.8,No
7,0.49,5.6,0.06,121,0.9974,0.76,10.5,No
8.7,0.625,2,0.101,49,0.9962,0.57,11,No
8.1,0.725,2.2,0.072,41,0.9967,0.55,9.1,No
7.5,0.49,1.9,0.076,44,0.9957,0.54,9.7,No
7.8,0.53,2.4,0.08,144,0.99655,0.6,9.5,No
7.8,0.34,2,0.082,58,0.9964,0.59,9.4,No
7.4,0.53,2,0.101,72,0.9957,0.57,9.4,No
6.8,0.61,1.5,0.057,10,0.99525,0.6,9.5,No
8.6,0.645,2,0.083,28,0.99815,0.6,10,No
8.4,0.635,2,0.089,55,0.99745,0.57,10.4,No
7.7,0.43,2.6,0.073,63,0.99615,0.58,10.5,No
8.9,0.59,2,0.337,81,0.9964,1.61,9.5,No
9,0.82,2.6,0.089,23,0.9984,0.63,9.8,No
7.7,0.43,2.6,0.073,63,0.99615,0.58,10.5,No
6.9,0.52,2.6,0.081,37,0.99685,0.5,11,No
5.2,0.48,1.6,0.054,106,0.9927,0.62,12.2,Yes
8,0.38,1.8,0.078,49,0.99625,0.52,9.9,No
8.5,0.37,2.8,0.09,58,0.998,0.7,9.6,No
6.9,0.52,2.6,0.081,37,0.99685,0.5,11,No
8.2,1,2.3,0.065,37,0.99685,0.55,9,No
7.2,0.63,1.9,0.097,38,0.99675,0.58,9,No
7.2,0.63,1.9,0.097,38,0.99675,0.58,9,No
7.2,0.645,1.9,0.097,39,0.99675,0.58,9.2,No
7.2,0.63,1.9,0.097,38,0.99675,0.58,9,No
8.2,1,2.3,0.065,37,0.99685,0.55,9,No
8.9,0.635,1.7,0.263,62,0.9971,1.09,9.3,No
12,0.38,2.1,0.093,24,0.99925,0.71,10.9,No
7.7,0.58,1.8,0.102,109,0.99565,0.49,9.8,No
15,0.21,2.2,0.075,24,1.00005,0.84,9.2,Yes
15,0.21,2.2,0.075,24,1.00005,0.84,9.2,Yes
7.3,0.66,2,0.084,23,0.9983,0.96,9.9,No
7.1,0.68,1.9,0.075,51,0.99685,0.52,9.5,No
8.2,0.6,2.3,0.072,73,0.9963,0.45,9.3,No
7.7,0.53,1.7,0.074,39,0.99615,0.48,9.8,No
7.3,0.66,2,0.084,23,0.9983,0.96,9.9,No
10.8,0.32,1.6,0.063,37,0.9985,0.78,10,No
7.1,0.6,1.8,0.074,34,0.9972,0.7,9.9,No
11.1,0.35,3.1,0.09,21,0.9986,0.53,10.5,No
7.7,0.775,1.9,0.092,86,0.9959,0.59,9.5,No
7.1,0.6,1.8,0.074,34,0.9972,0.7,9.9,No
8,0.57,3.2,0.073,119,0.99675,0.57,9.3,No
9.4,0.34,2.2,0.075,13,0.998,0.62,9.2,No
6.6,0.695,2.1,0.075,56,0.9968,0.67,9.2,No
7.7,0.41,1.8,0.611,45,0.9968,1.26,9.4,No
10,0.31,2.6,0.085,33,0.99965,0.8,10.5,Yes
7.9,0.33,1.7,0.077,45,0.99625,0.65,9.3,No
7,0.975,2,0.087,67,0.99565,0.6,9.4,No
8,0.52,1.7,0.07,35,0.99575,0.57,10,No
7.9,0.37,1.8,0.077,49,0.9963,0.67,9.3,No
12.5,0.56,2.4,0.064,27,0.9999,0.87,10.9,No
11.8,0.26,1.8,0.071,10,0.9968,0.72,10.2,Yes
8.1,0.87,3.3,0.096,61,1.00025,0.72,9.8,No
7.9,0.35,3.6,0.078,37,0.9973,0.86,12.8,Yes
6.9,0.54,3,0.077,27,0.9987,0.91,9.4,No
11.5,0.18,4,0.104,23,0.9996,0.97,10.1,No
7.9,0.545,4,0.087,61,0.9965,0.67,10.7,No
11.5,0.18,4,0.104,23,0.9996,0.97,10.1,No
10.9,0.37,4,0.071,65,0.99935,0.78,10.1,No
8.4,0.715,2.4,0.076,38,0.99735,0.64,9.4,No
7.5,0.65,7,0.088,94,0.99915,0.77,9.4,No
7.9,0.545,4,0.087,61,0.9965,0.67,10.7,No
6.9,0.54,3,0.077,27,0.9987,0.91,9.4,No
11.5,0.18,4,0.104,23,0.9996,0.97,10.1,No
10.3,0.32,6.4,0.073,13,0.9976,0.82,12.6,Yes
8.9,0.4,5.6,0.087,47,0.9991,0.77,10.5,Yes
11.4,0.26,3.6,0.071,19,0.9986,0.82,9.3,No
7.7,0.27,3.5,0.358,10,0.9972,1.08,9.9,Yes
7.6,0.52,3,0.067,53,0.9971,0.57,9.1,No
8.9,0.4,5.6,0.087,47,0.9991,0.77,10.5,Yes
9.9,0.59,3.4,0.102,71,1.00015,0.71,9.8,No
9.9,0.59,3.4,0.102,71,1.00015,0.71,9.8,No
12,0.45,2,0.073,49,0.9997,0.76,10.3,No
7.5,0.4,3,0.092,53,0.9967,0.7,10.3,No
8.7,0.52,2.5,0.091,49,0.9976,0.86,10.6,Yes
11.6,0.42,3.3,0.105,98,1.001,0.95,9.2,No
8.7,0.52,2.5,0.091,49,0.9976,0.86,10.6,Yes
11,0.2,2,0.343,18,0.9979,0.71,10.5,No
10.4,0.55,2.7,0.091,48,0.9994,0.64,10.3,No
6.9,0.36,2.4,0.098,16,0.9964,0.6,10.1,No
13.3,0.34,3.2,0.094,53,1.0014,0.81,9.5,No
10.8,0.5,2.5,0.073,27,1.0001,0.64,9.5,No
10.6,0.83,2.6,0.086,70,0.9981,0.52,9.9,No
7.1,0.63,2,0.083,29,0.99855,0.73,9.6,No
7.2,0.65,2.3,0.094,31,0.9993,0.8,9.7,No
6.9,0.67,2.1,0.08,33,0.99845,0.71,9.6,No
7.5,0.53,2.6,0.086,44,0.9965,0.59,10.7,No
11.1,0.18,1.5,0.068,15,0.9973,0.64,10.1,No
8.3,0.705,2.6,0.092,28,0.9994,0.72,10,No
7.4,0.67,1.6,0.186,21,0.996,0.54,9.5,No
8.4,0.65,2.1,0.112,90,0.9973,0.52,9.2,No
10.3,0.53,2.5,0.063,25,0.9998,0.59,9.3,No
7.6,0.62,2.2,0.082,54,0.9966,0.52,9.4,No
10.3,0.41,2.4,0.213,14,0.9994,0.62,9.5,No
10.3,0.43,2.4,0.214,12,0.9994,0.63,9.5,No
7.4,0.29,1.7,0.062,30,0.9968,0.53,9.5,No
10.3,0.53,2.5,0.063,25,0.9998,0.59,9.3,No
7.9,0.53,2,0.072,105,0.996,0.54,9.4,No
9,0.46,2.8,0.093,98,0.99815,0.63,9.5,No
8.6,0.47,3,0.076,135,0.9976,0.53,9.4,No
7.4,0.36,2.6,0.087,72,0.99645,0.68,11,No
7.1,0.35,2.5,0.096,53,0.9962,0.65,11,No
9.6,0.56,3.4,0.102,92,0.9996,0.65,10.1,No
9.6,0.77,2.9,0.082,74,0.99865,0.64,10.4,No
9.8,0.66,3.2,0.083,59,0.9989,0.71,11.5,Yes
9.6,0.77,2.9,0.082,74,0.99865,0.64,10.4,No
9.8,0.66,3.2,0.083,59,0.9989,0.71,11.5,Yes
9.3,0.61,3.4,0.09,87,0.99975,0.62,9.7,No
7.8,0.62,2.3,0.079,18,0.99735,0.63,9.3,No
10.3,0.59,2.8,0.09,73,0.999,0.7,9.5,No
10,0.49,11,0.071,50,1.0015,0.69,9.2,No
10,0.49,11,0.071,50,1.0015,0.69,9.2,No
11.6,0.53,3.65,0.121,14,0.9978,0.74,11.5,Yes
10.3,0.44,4.5,0.107,13,0.998,0.83,11.5,No
13.4,0.27,2.6,0.082,21,1.0002,0.67,9.7,No
10.7,0.46,2,0.061,15,0.9981,0.62,9.5,No
10.2,0.36,2.9,0.122,41,0.998,0.66,12.5,No
10.2,0.36,2.9,0.122,41,0.998,0.66,12.5,No
8,0.58,3.2,0.066,114,0.9973,0.54,9.4,No
8.4,0.56,2.1,0.105,44,0.9958,0.52,11,No
7.9,0.65,2.5,0.078,38,0.9963,0.74,11.7,Yes
11.9,0.695,3.4,0.128,21,0.9992,0.84,12.2,Yes
8.9,0.43,1.9,0.052,16,0.9948,0.7,12.5,No
7.8,0.43,2.8,0.08,58,0.9974,0.64,10.3,No
12.4,0.49,3,0.103,99,1.0008,1,11.5,No
12.5,0.28,2.3,0.082,29,0.9997,1.36,9.8,Yes
12.2,0.34,2.4,0.066,21,1,1.18,9.2,No
10.6,0.42,2.7,0.065,18,0.9972,0.87,11.3,No
10.9,0.39,1.8,0.118,14,0.9982,0.75,9.8,No
10.9,0.39,1.8,0.118,14,0.9982,0.75,9.8,No
11.9,0.57,2.6,0.082,32,1.0006,0.78,10.7,No
7,0.685,1.9,0.067,63,0.9979,0.81,9.9,No
6.6,0.815,2.7,0.072,34,0.9955,0.89,12.3,Yes
13.8,0.49,3,0.093,15,0.9986,0.93,12,No
9.6,0.56,2.8,0.089,46,0.9979,0.92,10,No
9.1,0.785,2.6,0.093,28,0.9994,0.86,9.4,No
10.7,0.67,2.7,0.107,34,1.0004,0.98,9.9,No
9.1,0.795,2.6,0.096,26,0.9994,0.83,9.4,No
7.7,0.665,2.4,0.09,19,0.9974,0.73,9.3,No
13.5,0.53,4.8,0.12,77,1.0018,0.77,13,No
6.1,0.21,1.4,0.066,165,0.9912,0.59,11.9,No
6.7,0.75,2.4,0.078,32,0.9955,0.61,12.8,No
11.5,0.41,3,0.08,55,1.0001,0.88,11,No
10.5,0.42,2.95,0.116,29,0.997,0.75,11.7,Yes
11.9,0.43,3.1,0.109,23,1,0.85,10.4,Yes
12.6,0.38,2.6,0.088,41,1.001,0.68,9.8,No
8.2,0.7,2,0.099,81,0.9973,0.7,9.4,No
8.6,0.45,2.6,0.086,50,0.9982,0.91,9.9,No
11.9,0.58,2.5,0.072,37,0.9992,0.56,10,No
12.5,0.46,2,0.071,15,0.9988,0.87,10.2,No
12.8,0.615,5.8,0.083,42,1.0022,0.73,10,Yes
10,0.42,3.4,0.107,21,0.9979,0.93,11.8,No
12.8,0.615,5.8,0.083,42,1.0022,0.73,10,Yes
10.4,0.575,2.6,0.076,24,1,0.69,9,No
10.3,0.34,2.8,0.159,75,0.9998,0.64,9.4,No
9.4,0.27,2.4,0.074,18,0.9962,1.13,12,Yes
6.9,0.765,2.3,0.063,63,0.9975,0.78,9.9,No
7.9,0.24,1.6,0.056,25,0.9967,0.87,8.7,No
9.1,0.28,1.8,0.067,46,0.9967,1.04,10.6,No
7.4,0.55,2.2,0.106,72,0.9959,0.63,9.2,No
14,0.41,3.8,0.089,47,1.0014,0.81,10.8,No
11.5,0.54,4.4,0.124,15,0.9984,0.83,11.8,Yes
11.5,0.45,3,0.078,47,1.0003,1.11,11,No
9.4,0.27,2.4,0.074,18,0.9962,1.13,12,Yes
11.4,0.625,6.2,0.088,24,0.9988,0.99,13.3,No
8.3,0.42,2.5,0.094,60,0.9979,0.7,10.8,No
8.3,0.26,2,0.08,27,0.9974,0.8,9.4,No
13.7,0.415,2.9,0.085,43,1.0014,0.8,10,No
8.3,0.26,2,0.08,27,0.9974,0.8,9.4,No
8.3,0.26,2,0.08,27,0.9974,0.8,9.4,No
7.7,0.51,2.1,0.087,54,0.998,0.74,9.2,No
7.4,0.63,2.4,0.09,37,0.9979,0.76,9.7,No
7.8,0.54,2,0.088,48,0.9981,0.74,9.2,No
8.3,0.66,1.9,0.079,42,0.9972,0.54,9.6,No
7.8,0.46,1.9,0.088,53,0.9981,0.74,9.2,No
9.6,0.38,2.5,0.096,49,0.9982,0.7,10,Yes
5.6,0.85,1.4,0.045,88,0.9924,0.82,12.9,Yes
13.7,0.415,2.9,0.085,43,1.0014,0.8,10,No
9.5,0.37,2,0.082,26,0.998,0.51,9.5,No
8.4,0.665,2,0.112,95,0.997,0.54,9.1,No
12.7,0.6,2.3,0.063,25,0.9997,0.57,9.9,No
12,0.37,4.2,0.066,38,1.0004,0.6,13,Yes
6.6,0.735,7.9,0.122,124,0.9994,0.53,9.9,No
11.5,0.59,2.6,0.087,49,0.9988,0.65,11,No
11.5,0.59,2.6,0.087,49,0.9988,0.65,11,No
8.7,0.765,2.3,0.064,42,0.9963,0.55,9.4,No
6.6,0.735,7.9,0.122,124,0.9994,0.53,9.9,No
7.7,0.26,1.7,0.059,38,0.9949,0.47,10.8,No
12.2,0.48,2.6,0.085,64,1,0.61,10.5,No
11.4,0.6,2.7,0.085,41,0.9994,0.63,10.5,No
7.7,0.69,2.7,0.075,27,0.9974,0.61,9.1,No
8.7,0.31,1.4,0.059,25,0.9966,0.76,10.1,No
9.8,0.44,2.5,0.063,28,0.9981,0.65,10.8,No
12,0.39,3,0.093,30,0.9996,0.63,10.8,Yes
10.4,0.34,3.7,0.174,16,0.997,0.7,11.3,No
12.5,0.46,4.5,0.07,49,0.9981,0.57,9.6,No
9,0.43,2.5,0.08,86,0.9987,0.62,9.5,No
9.1,0.45,2.4,0.08,78,0.9987,0.62,9.5,No
7.1,0.735,1.9,0.1,77,0.9966,0.64,9.3,No
9.9,0.4,6.7,0.097,19,0.9986,0.82,11.7,Yes
8.8,0.52,2.7,0.087,122,0.9982,0.61,9.5,No
8.6,0.725,6.6,0.117,134,1.0014,1.07,9.3,No
10.6,0.48,2.2,0.111,20,0.997,0.66,11.7,No
7,0.58,1.9,0.091,124,0.9956,0.48,10.5,No
11.9,0.38,2,0.121,20,0.9996,0.76,10.4,No
6.8,0.77,1.8,0.066,52,0.9976,0.68,9.9,No
9.5,0.56,2.4,0.089,67,0.9972,0.73,11.8,Yes
6.6,0.84,2.3,0.059,48,0.9952,0.56,12.3,Yes
7.7,0.96,2,0.047,60,0.9955,0.44,10.9,No
10.5,0.24,2.1,0.066,24,0.9978,0.9,11,Yes
7.7,0.96,2,0.047,60,0.9955,0.44,10.9,No
6.6,0.84,2.3,0.059,48,0.9952,0.56,12.3,Yes
6.4,0.67,2.1,0.045,48,0.9949,0.49,11.4,No
9.5,0.78,1.9,0.077,32,0.9988,0.56,10.6,No
9.1,0.52,1.3,0.07,30,0.9978,0.6,9.3,No
