DelinquentStatus,CustFICO,CustIncome,AcctOpenNoMonths,IntRate,CurrAcctBal,CreditOpenNoMonths,DaysToPmtDue,InqLst6Mos,NoLatePmtLst2Yrs,PublicRecords,CreditPurpose
0,767,87527,31,0.087,61921,14,39,0,0,0,DebtConsol
0,692,78894,26,0.1411,46268,14,92,1,1,0,DebtConsol
0,692,78894,44,0.1671,71002,14,75,1,0,0,DebtConsol
0,757,78853,31,0.0894,4779,14,17,0,0,0,DebtConsol
0,757,73642,43,0.1114,20015,14,34,0,0,0,DebtConsol
0,697,68852,47,0.1635,17353,14,45,1,0,0,DebtConsol
0,717,65485,16,0.1148,4133,14,14,0,0,0,DebtConsol
0,727,64176,44,0.1253,15354,14,35,2,0,0,DebtConsol
1,702,63191,27,0.1316,7491,14,71,0,1,0,DebtConsol
0,752,59700,21,0.0932,8128,14,27,3,0,0,DebtConsol
0,657,59700,28,0.145,9060,14,78,1,0,0,DebtConsol
0,737,88108,55,0.1183,32654,14,39,2,0,0,CreditCard
1,687,84412,16,0.1221,1000,14,71,2,3,0,CreditCard
0,767,68537,13,0.0832,25336,14,35,0,0,0,CreditCard
0,707,66200,22,0.1253,7910,14,90,3,0,0,CreditCard
0,782,55511,19,0.0774,9800,14,17,0,0,0,CreditCard
0,727,47820,6,0.0751,12003,14,54,1,0,0,CreditCard
0,762,94019,74,0.1695,12352,14,17,9,0,0,Business
0,767,85226,31,0.0938,1579,14,7,0,0,0,Business
0,722,66892,13,0.1221,5867,14,70,0,0,0,Business
1,797,88440,4,0.08,2044,13,7,2,0,0,Spending
1,742,83571,21,0.0963,9348,13,49,2,0,0,Spending
1,717,64747,13,0.087,498,13,7,2,1,0,Spending
0,807,53042,18,0.0714,268,13,0,0,0,0,Spending
0,757,52373,4,0.0768,2753,13,9,0,0,0,Spending
0,782,87527,22,0.0774,5016,13,17,0,0,0,Other
0,737,78270,15,0.092,40904,13,34,12,0,0,Other
0,762,76748,27,0.1253,28872,13,21,1,0,0,Other
0,742,76748,26,0.0894,43615,13,16,0,0,0,Other
0,687,76066,4,0.1099,3438,13,51,3,0,0,Other
1,797,74641,20,0.1025,1386,13,9,1,0,0,Other
0,772,74395,7,0.0705,5378,13,18,0,0,0,Other
1,782,73735,2,0.0737,2440,13,8,0,0,0,Other
0,677,68852,46,0.1496,36095,13,65,1,1,0,Other
0,762,65521,17,0.08,3339,13,16,1,0,0,Other
0,712,47785,4,0.1095,14385,13,25,3,0,0,Other
0,792,86501,31,0.0932,4384,13,5,0,0,0,HomeRenovation
0,787,84412,54,0.1062,4641,13,18,5,0,0,HomeRenovation
0,762,74395,13,0.08,8366,13,7,0,0,0,HomeRenovation
0,662,71786,32,0.1568,9649,13,50,0,0,0,HomeRenovation
0,707,69469,8,0.097,8832,13,76,1,0,0,HomeRenovation
0,767,67231,44,0.1739,13584,13,48,9,0,0,HomeRenovation
1,777,94019,66,0.1148,2574,13,7,3,0,0,DebtConsol
1,712,85226,20,0.1134,76428,13,68,14,0,1,DebtConsol
0,717,77845,19,0.1095,10147,13,31,3,0,0,DebtConsol
0,727,76545,55,0.1253,25076,13,57,4,0,0,DebtConsol
0,692,75600,20,0.1357,7983,13,43,0,0,0,DebtConsol
1,702,74518,19,0.1317,18265,13,46,0,2,0,DebtConsol
0,722,74395,70,0.1287,31890,13,78,1,0,0,DebtConsol
0,672,74305,54,0.1387,12301,13,56,1,0,0,DebtConsol
1,717,72061,54,0.1136,30987,13,48,1,4,0,DebtConsol
0,737,70801,44,0.1218,28735,13,82,3,0,0,DebtConsol
1,782,70657,31,0.0751,6449,13,12,2,0,0,DebtConsol
0,762,67116,45,0.0988,18667,13,20,1,0,0,DebtConsol
1,647,65630,29,0.1438,10155,13,35,1,2,0,DebtConsol
0,697,58976,14,0.1379,693,13,23,1,0,0,DebtConsol
0,737,53042,24,0.0894,6738,13,28,0,0,0,DebtConsol
0,717,80487,55,0.1253,33900,13,56,1,0,0,CreditCard
0,752,78270,17,0.0963,22329,13,40,1,0,0,CreditCard
1,682,73127,8,0.1028,2105,13,45,0,3,0,CreditCard
0,742,72332,19,0.1261,52964,13,71,3,0,0,CreditCard
0,707,71786,12,0.1062,34299,13,68,0,0,0,CreditCard
0,762,69008,31,0.0894,12893,13,14,1,0,0,CreditCard
0,802,82702,42,0.0963,8823,13,7,1,0,0,Business
0,737,80870,77,0.1982,144217,13,12,0,1,0,Business
0,687,76121,7,0.2121,52702,13,41,6,2,0,Business
0,802,71648,76,0.1913,190050,13,8,3,0,0,Business
0,727,65485,43,0.1531,8394,13,79,3,0,0,Business
1,812,87527,66,0.1183,346,12,0,0,0,0,Spending
1,812,86016,66,0.1183,346,12,0,0,0,0,Spending
1,717,66200,3,0.0894,2504,12,21,0,1,0,Spending
0,767,63591,17,0.08,5889,12,27,3,0,0,Spending
1,807,141798,26,0.0774,7729,12,12,0,0,0,Other
0,782,100213,47,0.0894,6096,12,17,0,0,0,Other
1,812,87527,66,0.1183,346,12,0,0,0,0,Other
1,812,87527,67,0.1183,346,12,0,0,0,0,Other
0,707,85861,42,0.1347,0,12,0,3,1,0,Other
0,717,85226,30,0.1183,32818,12,87,0,0,1,Other
0,702,84079,9,0.1253,16146,12,54,3,0,0,Other
0,707,82702,30,0.1218,9772,12,41,1,0,0,Other
0,717,78894,30,0.1128,52132,12,55,1,0,0,Other
0,662,78058,74,0.1734,14706,12,77,0,2,0,Other
0,777,77844,10,0.08,31270,12,48,0,0,0,Other
0,692,76748,16,0.1189,58780,12,75,0,0,0,Other
0,767,74395,32,0.0963,199390,12,23,1,0,0,Other
0,742,70365,10,0.0894,8782,12,38,4,0,0,Other
0,667,69772,14,0.1367,1026,12,51,0,1,0,Other
0,787,68088,18,0.074,6545,12,10,0,0,0,Other
1,677,66312,42,0.1286,12836,12,31,0,2,0,Other
0,797,65485,39,0.0863,5656,12,27,0,0,0,Other
1,822,63191,28,0.08,3879,12,7,2,0,0,Other
0,797,59220,5,0.0737,324,12,0,0,0,0,Other
0,807,57919,8,0.1062,55,12,0,6,0,0,Other
0,737,54315,13,0.0894,10681,12,22,0,0,0,Other
1,742,50223,27,0.1095,0,12,0,1,1,0,Other
0,752,89778,26,0.0932,56153,12,44,1,0,0,HomeRenovation
1,812,87527,54,0.1148,346,12,0,0,0,0,HomeRenovation
0,682,79314,42,0.1392,8785,12,37,1,0,0,HomeRenovation
0,757,77844,67,0.1008,16386,12,11,0,0,0,HomeRenovation
0,677,62615,2,0.1461,12161,12,95,1,0,0,HomeRenovation
0,707,48631,8,0.0996,12003,12,40,1,0,0,Education
0,727,97286,27,0.1095,10501,12,33,0,0,1,DebtConsol
1,812,88956,66,0.1183,346,12,0,0,0,0,DebtConsol
1,812,87527,66,0.1183,346,12,0,0,0,0,DebtConsol
0,682,84845,22,0.1357,55045,12,85,0,1,0,DebtConsol
0,807,84563,39,0.0894,8467,12,21,0,0,0,DebtConsol
1,812,84412,66,0.1183,346,12,0,0,0,0,DebtConsol
0,682,78058,11,0.1663,39502,12,87,0,0,0,DebtConsol
1,822,75787,12,0.074,1874,12,5,0,0,0,DebtConsol
1,722,75364,41,0.1218,22319,12,58,0,2,0,DebtConsol
1,812,74395,19,0.1322,182,12,3,2,0,0,DebtConsol
0,702,73450,27,0.1071,26888,12,26,0,0,0,DebtConsol
0,727,72732,55,0.1218,33980,12,74,0,0,0,DebtConsol
0,782,70366,15,0.0768,6047,12,11,1,0,0,DebtConsol
0,667,70366,7,0.1367,2368,12,21,4,1,1,DebtConsol
1,797,70365,40,0.0963,4002,12,12,0,0,0,DebtConsol
0,682,68852,25,0.1683,0,12,0,9,1,0,DebtConsol
0,737,68056,18,0.0932,125743,12,32,0,0,0,DebtConsol
0,667,67256,23,0.1568,43110,12,93,1,0,0,DebtConsol
1,777,67241,23,0.0774,8805,12,8,3,1,0,DebtConsol
1,702,66721,42,0.1347,7701,12,30,1,3,0,DebtConsol
0,747,66200,41,0.1218,9184,12,50,0,0,0,DebtConsol
0,747,65485,54,0.1148,24123,12,58,1,0,0,DebtConsol
0,722,65485,37,0.1062,14706,12,72,1,0,0,DebtConsol
0,682,65485,8,0.1347,13427,12,30,0,0,0,DebtConsol
0,662,64330,28,0.1387,61882,12,60,0,0,0,DebtConsol
0,762,63983,15,0.08,74759,12,13,0,0,0,DebtConsol
0,777,61516,10,0.0676,12308,12,22,0,0,0,DebtConsol
0,797,60718,31,0.0894,201,12,0,1,0,0,DebtConsol
1,707,59700,14,0.1348,12487,12,81,0,0,1,DebtConsol
0,717,59220,16,0.1148,6433,12,48,1,0,0,DebtConsol
0,747,58227,21,0.1531,23875,12,12,5,0,0,DebtConsol
0,752,57711,18,0.0774,18512,12,57,0,0,0,DebtConsol
0,757,54315,16,0.0963,17737,12,23,0,0,0,DebtConsol
0,722,54047,33,0.1347,11377,12,94,1,0,0,DebtConsol
0,647,53042,7,0.1362,3257,12,59,0,0,0,DebtConsol
0,717,49441,9,0.0788,2357,12,8,1,0,0,DebtConsol
0,802,93903,26,0.0932,144723,12,3,0,0,0,CreditCard
0,682,84940,33,0.1505,54194,12,85,0,0,1,CreditCard
0,702,82702,60,0.1774,50307,12,75,0,0,0,CreditCard
0,687,81802,6,0.1189,32812,12,48,0,0,0,CreditCard
0,762,75600,33,0.1114,190153,12,39,4,0,0,CreditCard
0,677,71786,19,0.1393,59023,12,79,5,0,0,CreditCard
1,762,68852,32,0.0963,13659,12,22,0,0,0,CreditCard
1,697,68217,4,0.1218,8652,12,50,1,0,1,CreditCard
0,712,67231,8,0.1158,2245,12,11,5,0,1,CreditCard
0,702,61516,20,0.1064,599,12,3,8,1,1,CreditCard
0,722,85226,72,0.1525,95356,12,58,0,0,0,Business
0,752,79901,52,0.1221,49836,12,42,1,0,0,Business
0,742,77737,28,0.1426,63567,12,70,3,0,0,Business
0,702,74884,69,0.1249,43302,12,53,4,0,0,Business
0,782,74395,42,0.1426,235868,12,17,0,0,0,Business
1,707,70365,72,0.1774,46100,12,75,2,0,1,Business
0,742,68852,28,0.1461,41063,12,61,4,0,0,Business
1,757,92352,6,0.074,14063,11,50,1,0,0,Spending
1,767,79901,18,0.0774,7283,11,7,0,0,0,Spending
0,737,71228,9,0.0774,2907,11,21,0,0,0,Spending
0,762,69383,8,0.0768,7232,11,3,2,0,0,Spending
1,732,106072,75,0.1774,34731,11,88,9,0,0,Other
1,762,103703,55,0.1158,0,11,0,1,0,0,Other
1,692,99270,71,0.1418,214559,11,63,1,0,0,Other
0,672,93435,28,0.1461,215372,11,82,2,0,0,Other
0,687,88251,42,0.1392,149822,11,86,0,0,0,Other
0,682,86933,7,0.167,27433,11,56,1,0,0,Other
0,682,85226,73,0.1607,13018,11,68,0,0,1,Other
0,752,82702,20,0.0945,190486,11,80,1,0,0,Other
0,737,81246,7,0.0774,32380,11,64,2,0,0,Other
0,707,80487,11,0.1183,15050,11,28,2,0,0,Other
0,682,79099,7,0.1347,45304,11,96,1,0,0,Other
0,777,77844,15,0.0768,35306,11,28,2,0,0,Other
0,682,71076,11,0.1253,33115,11,55,1,0,0,Other
0,742,70365,20,0.1095,62466,11,58,4,0,0,Other
0,787,68852,27,0.0945,426,11,0,0,0,0,Other
0,707,66200,11,0.1008,4972,11,61,0,0,0,Other
0,812,66148,26,0.0859,952,11,1,0,0,0,Other
0,747,65845,9,0.0714,24809,11,62,3,0,0,Other
0,742,64944,36,0.1114,13844,11,50,3,0,0,Other
0,727,63591,11,0.1183,49680,11,85,1,0,0,Other
0,777,61516,2,0.0737,4055,11,46,0,0,0,Other
0,667,60169,14,0.1461,4680,11,20,4,0,0,Other
0,742,57449,16,0.1284,7699,11,69,1,0,0,Other
1,702,56641,20,0.1039,10444,11,14,1,1,0,Other
0,677,50963,15,0.1316,9369,11,76,4,0,0,Other
0,762,46531,7,0.074,641,11,40,0,0,0,Other
0,787,100673,68,0.1126,3131,11,8,2,0,0,HomeRenovation
0,727,92360,67,0.1046,19948,11,77,2,0,0,HomeRenovation
1,777,86782,69,0.1183,311,11,0,1,0,0,HomeRenovation
1,687,82909,57,0.1474,33287,11,44,1,1,0,HomeRenovation
0,682,73073,14,0.1426,2470,11,39,6,0,1,HomeRenovation
1,647,70743,28,0.1467,991,11,15,1,3,0,HomeRenovation
1,662,57290,20,0.1635,0,11,33,0,3,0,HomeRenovation
0,672,86782,9,0.179,29748,11,51,0,1,0,Education
0,757,78894,15,0.0832,8681,11,23,0,0,0,Education
1,752,68217,19,0.0859,152002,11,51,3,0,0,Education
0,707,62370,46,0.1557,8044,11,30,8,0,0,Education
1,672,105490,43,0.1565,17057,11,82,1,0,0,DebtConsol
0,727,96767,27,0.1154,107501,11,44,2,0,0,DebtConsol
0,682,90472,46,0.1565,101022,11,93,1,0,0,DebtConsol
0,702,84412,59,0.1316,11956,11,71,2,0,1,DebtConsol
0,777,82702,19,0.0774,5195,11,5,1,0,0,DebtConsol
0,722,81619,27,0.1253,141532,11,97,0,0,0,DebtConsol
0,667,81419,55,0.1635,83317,11,72,0,0,0,DebtConsol
0,692,80772,33,0.1209,24417,11,77,2,0,0,DebtConsol
0,777,79901,39,0.0894,8118,11,5,0,0,0,DebtConsol
0,727,79345,41,0.1158,37281,11,69,1,0,0,DebtConsol
0,782,76748,39,0.0894,17908,11,20,1,0,0,DebtConsol
0,707,76066,72,0.1496,13580,11,48,3,0,0,DebtConsol
0,692,76066,28,0.1347,14943,11,54,0,1,0,DebtConsol
0,672,75834,29,0.1531,17768,11,65,1,0,1,DebtConsol
0,692,74396,57,0.1426,11035,11,43,2,1,0,DebtConsol
0,767,73127,21,0.0859,10624,11,19,0,0,0,DebtConsol
0,697,73127,24,0.1221,17307,11,31,2,0,0,DebtConsol
0,682,73127,57,0.1496,9306,11,48,4,1,0,DebtConsol
0,682,71509,31,0.1461,21479,11,82,0,0,0,DebtConsol
0,777,70657,15,0.0768,53625,11,13,0,0,0,DebtConsol
0,772,70365,45,0.0894,9242,11,18,1,0,0,DebtConsol
0,702,70070,67,0.1426,30803,11,84,1,0,0,DebtConsol
0,767,69591,54,0.1148,33184,11,48,0,0,0,DebtConsol
0,692,68852,16,0.1311,2077,11,1,4,3,0,DebtConsol
0,667,68217,17,0.1461,8763,11,47,3,0,0,DebtConsol
0,762,66200,21,0.1114,2477,11,18,5,0,0,DebtConsol
0,702,65487,20,0.1284,19434,11,43,2,0,0,DebtConsol
0,687,65038,45,0.1461,19469,11,34,5,0,0,DebtConsol
0,787,64747,16,0.0775,10742,11,8,3,0,0,DebtConsol
0,672,64176,25,0.1379,7589,11,51,0,0,0,DebtConsol
0,727,63983,70,0.1287,50728,11,88,2,0,0,DebtConsol
0,692,63191,50,0.1357,5494,11,14,0,0,0,DebtConsol
0,667,59700,43,0.1343,18403,11,73,0,1,0,DebtConsol
0,782,58536,23,0.0774,8880,11,17,0,0,0,DebtConsol
0,772,56641,17,0.1322,14581,11,98,1,0,0,DebtConsol
0,717,56641,42,0.1284,20105,11,33,3,0,0,DebtConsol
0,682,54621,17,0.1379,5177,11,12,3,1,0,DebtConsol
0,777,50220,11,0.08,3223,11,4,0,0,0,DebtConsol
1,662,49034,14,0.1292,4652,11,89,1,1,0,DebtConsol
0,672,42840,8,0.1411,256,11,4,4,0,0,DebtConsol
1,707,83385,72,0.1531,40413,11,85,0,0,0,CreditCard
0,767,82525,13,0.08,54960,11,24,3,0,0,CreditCard
0,727,81985,53,0.0996,33989,11,82,0,0,0,CreditCard
0,722,80871,32,0.1083,28631,11,54,0,0,0,CreditCard
0,722,79032,31,0.0901,7606,11,18,0,0,1,CreditCard
0,782,78894,39,0.0894,8057,11,17,2,0,0,CreditCard
0,672,77637,21,0.1461,56418,11,79,4,0,0,CreditCard
0,812,76971,20,0.0859,3950,11,4,0,0,0,CreditCard
0,697,76748,16,0.1253,10721,11,38,4,0,0,CreditCard
0,697,74395,12,0.1103,43712,11,82,0,0,0,CreditCard
0,687,73823,4,0.1103,80490,11,55,1,0,0,CreditCard
0,667,73823,8,0.1261,80837,11,58,4,0,0,CreditCard
0,742,73711,7,0.0774,37721,11,64,0,0,0,CreditCard
0,672,73642,16,0.1229,57578,11,76,5,0,0,CreditCard
0,762,69402,48,0.1025,23065,11,51,4,0,0,CreditCard
0,757,68852,26,0.0932,164974,11,24,0,0,0,CreditCard
0,757,67242,32,0.0963,25133,11,38,1,0,0,CreditCard
0,702,67231,15,0.1221,6788,11,26,5,1,1,CreditCard
1,682,66200,16,0.1287,9339,11,33,2,1,0,CreditCard
0,707,65485,30,0.1253,4877,11,46,2,0,0,CreditCard
0,722,64687,25,0.1253,14379,11,89,0,0,0,CreditCard
0,762,64080,7,0.0768,4361,11,7,1,0,0,CreditCard
0,747,61516,19,0.0963,12776,11,68,0,0,0,CreditCard
0,732,59700,16,0.0976,16101,11,75,0,0,0,CreditCard
0,712,59700,39,0.1114,23772,11,84,0,0,0,CreditCard
0,787,85226,35,0.1392,12115,11,14,1,0,0,Business
0,717,80870,58,0.16,22784,11,82,0,0,0,Business
0,752,76748,59,0.1496,5090,11,7,0,0,0,Business
1,747,94837,59,0.1062,47992,10,30,4,0,0,Spending
1,802,87231,19,0.08,7914,10,6,1,0,0,Spending
0,777,75600,18,0.0768,3712,10,38,2,0,0,Spending
0,742,68216,19,0.0907,3392,10,9,1,0,0,Spending
1,807,109032,15,0.0774,6098,10,0,2,0,0,Other
1,722,105460,42,0.1379,13739,10,67,7,0,0,Other
1,682,98295,67,0.1299,66919,10,61,5,0,0,Other
0,797,83571,9,0.08,3638,10,20,2,0,0,Other
0,742,82702,21,0.0901,7336,10,29,0,0,0,Other
1,662,82166,21,0.1324,23611,10,32,0,2,0,Other
0,682,81433,13,0.1103,30461,10,37,4,0,0,Other
0,697,80870,11,0.1218,4254,10,64,0,0,0,Other
0,802,80468,43,0.0894,4588,10,6,0,0,0,Other
0,667,76748,45,0.1867,13255,10,88,7,0,0,Other
0,777,75599,27,0.1095,0,10,0,1,0,0,Other
0,777,74837,23,0.08,38216,10,50,0,0,0,Other
0,777,72332,26,0.0774,11381,10,34,0,0,0,Other
0,717,68852,13,0.1114,6577,10,15,2,0,0,Other
0,702,68852,6,0.1148,14626,10,51,1,0,0,Other
1,687,68852,13,0.1103,20066,10,88,1,1,0,Other
0,667,68852,4,0.1357,19112,10,82,1,0,0,Other
0,642,68852,12,0.1728,18641,10,70,2,1,1,Other
0,767,65487,7,0.0859,7074,10,28,0,0,0,Other
0,782,65485,20,0.0774,4071,10,8,1,0,0,Other
0,772,65119,21,0.0807,7744,10,17,0,0,0,Other
0,692,64747,13,0.1197,13734,10,28,0,0,0,Other
0,792,64448,27,0.1183,444,10,0,3,0,0,Other
0,667,63788,6,0.1461,21081,10,56,5,0,0,Other
1,702,62785,22,0.1287,4616,10,41,1,1,0,Other
1,732,61516,44,0.1183,9082,10,35,2,2,0,Other
1,737,61515,13,0.1189,8773,10,57,0,1,0,Other
0,812,60627,21,0.0859,255,10,0,1,0,0,Other
0,682,59700,14,0.1287,7790,10,82,3,0,0,Other
0,797,59643,12,0.0768,4787,10,10,0,0,0,Other
0,697,58727,27,0.1253,18212,10,72,1,0,0,Other
0,697,58530,8,0.1183,1125,10,23,2,0,0,Other
0,682,58178,8,0.1122,24218,10,85,2,0,0,Other
0,717,57711,8,0.102,995,10,2,1,2,0,Other
1,702,57711,19,0.1103,10,10,0,0,3,0,Other
0,732,94088,2,0.1039,133963,10,16,15,0,0,HomeRenovation
0,772,84903,10,0.074,10583,10,16,2,0,0,HomeRenovation
0,757,84412,68,0.1392,6834,10,30,5,0,0,HomeRenovation
0,747,84412,35,0.1114,35398,10,70,0,0,0,HomeRenovation
0,692,82613,19,0.1316,4820,10,67,1,0,1,HomeRenovation
0,747,77844,41,0.1114,50662,10,14,0,1,0,HomeRenovation
0,757,77412,62,0.1183,60376,10,47,0,0,0,HomeRenovation
0,677,75600,24,0.1442,7429,10,91,1,0,0,HomeRenovation
1,752,73642,37,0.0894,1842,10,5,0,0,0,HomeRenovation
0,717,69224,44,0.1568,27174,10,39,1,0,0,HomeRenovation
0,752,68852,2,0.0676,17028,10,11,1,0,0,HomeRenovation
0,687,63030,42,0.1347,15273,10,24,2,1,0,HomeRenovation
0,782,62390,22,0.0774,9955,10,20,0,0,0,HomeRenovation
0,762,61516,13,0.08,7755,10,10,3,0,0,HomeRenovation
1,757,57711,3,0.0768,13271,10,16,1,0,0,HomeRenovation
0,767,78480,69,0.1183,3142,10,8,3,0,0,Education
0,757,67231,2,0.0859,17069,10,11,1,0,0,Education
0,647,63191,9,0.1854,20685,10,89,2,0,0,Education
0,782,53042,13,0.0932,0,10,0,4,0,0,Education
0,732,46531,18,0.0751,5291,10,67,0,0,0,Education
0,662,42840,10,0.1565,2383,10,95,0,1,0,Education
0,687,100213,57,0.1496,38910,10,93,2,0,0,DebtConsol
0,762,95151,32,0.0963,56967,10,28,2,0,0,DebtConsol
0,687,91605,73,0.1645,16960,10,90,1,0,1,DebtConsol
0,722,90967,21,0.1114,38107,10,69,0,0,0,DebtConsol
0,682,90313,67,0.1766,119451,10,95,0,0,0,DebtConsol
0,672,85226,68,0.2086,62553,10,44,2,0,0,DebtConsol
1,672,83911,71,0.1739,6759,10,27,0,3,0,DebtConsol
0,687,83571,57,0.1461,31076,10,79,0,0,0,DebtConsol
0,732,82702,41,0.1158,182274,10,48,0,1,0,DebtConsol
0,697,82702,42,0.1091,57196,10,44,3,0,0,DebtConsol
0,757,82346,69,0.1218,10227,10,40,1,0,0,DebtConsol
0,662,81802,60,0.1843,14548,10,87,4,0,1,DebtConsol
0,772,80870,54,0.1114,67969,10,40,2,0,0,DebtConsol
0,737,80293,28,0.0963,4229,10,7,0,0,0,DebtConsol
0,742,80279,67,0.1218,81940,10,35,0,0,0,DebtConsol
0,732,80142,55,0.1218,22233,10,76,1,0,0,DebtConsol
0,692,76769,28,0.1197,14081,10,73,0,0,1,DebtConsol
0,797,76748,47,0.0894,2347,10,9,0,0,0,DebtConsol
0,767,76748,26,0.0894,93093,10,1,0,0,0,DebtConsol
0,752,76748,66,0.1183,54147,10,53,0,0,0,DebtConsol
0,752,76748,64,0.1158,44539,10,59,0,0,0,DebtConsol
0,702,75835,41,0.1253,32239,10,55,0,1,0,DebtConsol
0,682,75600,13,0.1311,10979,10,86,3,0,0,DebtConsol
0,697,74147,72,0.1533,26018,10,43,0,1,0,DebtConsol
0,687,73769,43,0.1474,2009,10,19,5,0,0,DebtConsol
0,712,73050,33,0.1158,9826,10,42,1,0,1,DebtConsol
0,737,72600,68,0.1091,3472,10,4,1,0,0,DebtConsol
0,717,71786,33,0.1062,74403,10,68,1,0,0,DebtConsol
1,752,71228,24,0.0894,38581,10,65,1,0,0,DebtConsol
0,662,70307,66,0.1774,11328,10,39,2,1,0,DebtConsol
0,712,68852,32,0.1387,44293,10,73,0,0,0,DebtConsol
