"","Year","Month","DayofMonth","DayOfWeek","DepTime","CRSDepTime","ArrTime","CRSArrTime","UniqueCarrier","FlightNum","TailNum","ActualElapsedTime","CRSElapsedTime","AirTime","ArrDelay","DepDelay","Origin","Dest","Distance","TaxiIn","TaxiOut","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay"
"34",2008,11,1,6,1105,1030,1307,1250,"AS",563,"N609AS",122,140,109,17,35,"LAX","PDX",834,3,10,17,0,0,0,0
"35",2008,11,1,6,702,700,938,852,"AS",373,"N563AS",156,112,81,46,2,"SMF","SEA",605,56,19,0,0,46,0,0
"36",2008,11,1,6,1543,1455,1804,1730,"AS",539,"N796AS",141,155,120,34,48,"ONT","SEA",956,5,16,0,0,0,0,34
"37",2008,11,1,6,1649,1630,1934,1910,"AS",111,"N597AS",165,160,134,24,19,"SAN","SEA",1050,10,21,2,0,5,0,17
"38",2008,11,1,6,2239,2130,519,411,"B6",300,"N648JB",280,281,265,68,69,"LGB","IAD",2277,6,9,0,0,0,0,68
"39",2008,11,1,6,1442,1320,1618,1440,"B6",1435,"N648JB",96,80,70,98,82,"LGB","SFO",354,5,21,0,0,98,0,0
"40",2008,11,1,6,1151,805,1441,1111,"B6",553,"N715JB",170,186,151,210,226,"EWR","RSW",1068,4,15,210,0,0,0,0
"41",2008,11,1,6,904,840,1014,952,"CO",1670,"N13718",70,72,49,22,24,"IAH","MFE",316,5,16,22,0,0,0,0
"42",2008,11,1,6,1828,1800,2207,2121,"CO",348,"N39297",399,381,340,46,28,"EWR","SFO",2565,5,54,0,0,46,0,0
"43",2008,11,1,6,1340,1330,1733,1625,"CO",1702,"N27205",413,355,343,68,10,"EWR","SFO",2565,5,65,0,0,68,0,0
"44",2008,11,1,6,1911,1905,2354,2338,"CO",310,"N17139",223,213,185,16,6,"IAH","EWR",1400,9,29,0,0,10,6,0
"45",2008,11,1,6,1518,1515,1740,1641,"CO",1112,"N16701",142,86,44,59,3,"DCA","EWR",199,28,70,0,0,59,0,0
"46",2008,11,1,6,1010,1015,1412,1352,"CO",1544,"N11641",182,157,158,20,-5,"IAH","CLE",1091,5,19,0,0,20,0,0
"47",2008,11,1,6,1158,1208,1536,1510,"DL",678,"N989DL",218,182,150,26,-10,"MIA","JFK",1090,55,13,0,0,26,0,0
"48",2008,11,1,6,952,955,1209,1146,"DL",728,"N925DL",137,111,82,23,-3,"ATL","BWI",576,5,50,0,0,23,0,0
"49",2008,11,1,6,1308,1250,1523,1505,"DL",246,"N1609",135,135,109,18,18,"ATL","JFK",760,13,13,18,0,0,0,0
"50",2008,11,1,6,948,950,1207,1147,"DL",857,"N687DL",139,117,89,20,-2,"ATL","FLL",581,6,44,0,0,20,0,0
"51",2008,11,1,6,657,700,933,915,"DL",908,"N602DL",96,75,50,18,-3,"PNS","ATL",272,25,21,0,0,18,0,0
"52",2008,11,1,6,1953,1855,2241,2218,"DL",687,"N937DL",168,203,144,23,58,"JFK","TPA",1005,3,21,23,0,0,0,0
"53",2008,11,1,6,954,1000,1137,1113,"DL",1638,"N969DL",103,73,43,24,-6,"ATL","CLT",227,7,53,0,0,24,0,0
"54",2008,11,1,6,1233,1150,2005,1925,"DL",1538,"N675DL",272,275,247,40,43,"PDX","ATL",2172,10,15,40,0,0,0,0
"55",2008,11,1,6,937,935,1645,1630,"DL",1080,"N670DN",248,235,214,15,2,"LAS","ATL",1747,6,28,0,0,15,0,0
"56",2008,11,1,6,1845,1645,2044,1843,"DL",33,"N387DA",299,298,283,121,120,"CVG","SFO",2036,5,11,0,0,121,0,0
"57",2008,11,1,6,1732,1733,2010,1955,"DL",1618,"N915DL",158,142,123,15,-1,"ATL","BDL",859,8,27,0,0,15,0,0
"58",2008,11,1,6,840,825,1417,1400,"DL",130,"N829MH",217,215,195,17,15,"SLC","ATL",1589,7,15,15,0,2,0,0
"59",2008,11,1,6,1759,1430,2048,1744,"DL",98,"N907DL",169,194,136,184,209,"FLL","JFK",1069,20,13,184,0,0,0,0
"60",2008,11,1,6,1154,1106,1323,1239,"DL",1781,"N915DL",89,93,66,44,48,"ATL","SRQ",445,6,17,44,0,0,0,0
"61",2008,11,1,6,806,810,1015,948,"DL",880,"N681DA",129,98,65,27,-4,"TPA","ATL",406,52,12,0,0,27,0,0
"62",2008,11,1,6,941,942,1101,1045,"EV",5299,"N908EV",80,63,35,16,-1,"ATL","CAE",191,3,42,0,0,16,0,0
"63",2008,11,1,6,1404,1349,1653,1629,"EV",5469,"N850AS",109,100,85,24,15,"BMI","ATL",533,8,16,2,0,9,0,13
"64",2008,11,1,6,1645,1650,1842,1825,"EV",5258,"N841AS",117,95,72,17,-5,"DAY","ATL",432,39,6,0,0,17,0,0
"65",2008,11,1,6,953,955,1118,1054,"EV",5334,"N873AS",85,59,28,24,-2,"ATL","ABY",146,3,54,0,0,24,0,0
"66",2008,11,1,6,2054,2028,2204,2135,"EV",5529,"N900EV",70,67,39,29,26,"ATL","BQK",238,2,29,0,0,3,0,26
"67",2008,11,1,6,1306,1243,1344,1322,"EV",5469,"N850AS",98,99,77,22,23,"ATL","BMI",533,5,16,22,0,0,0,0
"68",2008,11,1,6,2216,2050,21,2308,"EV",5216,"N354CA",125,138,109,73,86,"ATL","ALB",852,3,13,73,0,0,0,0
"69",2008,11,1,6,1200,1116,1244,1206,"EV",5412,"N861AS",104,110,74,38,44,"ATL","SHV",552,3,27,33,0,0,0,5
"70",2008,11,1,6,1445,1307,1631,1425,"EV",5557,"N683BR",106,78,86,126,98,"ATL","EWN",433,3,17,27,0,28,0,71
"71",2008,11,1,6,1500,1411,1712,1628,"EV",5508,"N867AS",72,77,58,44,49,"GPT","ATL",352,7,7,0,0,0,0,44
"72",2008,11,1,6,1104,1035,1546,1520,"F9",191,"N906FR",162,165,140,26,29,"DEN","DAY",1084,6,16,26,0,0,0,0
"73",2008,11,1,6,1555,1530,1827,1809,"FL",668,"N603AT",152,159,136,18,25,"HPN","MCO",972,7,9,0,0,0,0,18
"74",2008,11,1,6,1724,1506,2006,1730,"FL",549,"N942AT",162,144,139,156,138,"MCO","BUF",1011,6,17,0,0,18,0,138
"75",2008,11,1,6,1007,950,1212,1150,"FL",140,"N943AT",125,120,90,22,17,"ATL","DTW",594,6,29,0,0,22,0,0
"76",2008,11,1,6,1419,1359,1656,1640,"FL",664,"N938AT",157,161,147,16,20,"HPN","PBI",1057,3,7,16,0,0,0,0
"77",2008,11,1,6,1004,1005,1219,1147,"FL",235,"N603AT",135,102,90,32,-1,"ATL","PBI",545,4,41,0,0,32,0,0
"78",2008,11,1,6,1429,1212,1652,1420,"FL",716,"N942AT",143,128,113,152,137,"IAD","MCO",758,17,13,137,0,15,0,0
"79",2008,11,1,6,1542,1545,1724,1650,"MQ",3393,"N524MQ",102,65,53,34,-3,"DFW","LBB",282,2,47,0,0,34,0,0
"80",2008,11,1,6,1332,1215,1444,1330,"MQ",3172,"N807MQ",72,75,60,74,77,"SNA","SJC",342,4,8,39,0,0,0,35
"81",2008,11,1,6,1349,1330,1505,1450,"MQ",3741,"N637MQ",76,80,62,15,19,"DFW","LFT",351,4,10,8,0,0,0,7
"82",2008,11,1,6,1939,1910,2042,2020,"MQ",3879,"N512MQ",63,70,44,22,29,"DFW","XNA",281,3,16,22,0,0,0,0
"83",2008,11,1,6,1445,1400,1601,1520,"MQ",3157,"N853MQ",76,80,61,41,45,"SJC","SNA",342,6,9,36,0,0,0,5
"84",2008,11,1,6,1404,1330,1447,1420,"MQ",4124,"N621MQ",43,50,26,27,34,"ORD","CMI",135,5,12,27,0,0,0,0
"85",2008,11,1,6,841,835,1227,1210,"MQ",3423,"N524MQ",166,155,138,17,6,"DFW","CLE",1021,6,22,6,0,11,0,0
"86",2008,11,1,6,1553,1555,1727,1710,"MQ",3769,"N658MQ",94,75,56,17,-2,"DFW","SGF",364,2,36,0,0,17,0,0
"87",2008,11,1,6,2005,1920,2332,2245,"MQ",3725,"N846MQ",147,145,127,47,45,"DFW","CAE",922,3,17,35,0,2,0,10
"88",2008,11,1,6,1322,1238,1948,1845,"NW",272,"N344NB",266,247,234,63,44,"SFO","MEM",1807,7,25,2,0,19,0,42
"89",2008,11,1,6,1958,1910,2054,2012,"NW",755,"N586NW",116,122,85,42,48,"DTW","MSP",528,5,26,42,0,0,0,0
"90",2008,11,1,6,1012,1015,1400,1338,"NW",1704,"N332NW",168,143,122,22,-3,"MSP","DCA",931,8,38,0,0,22,0,0
"91",2008,11,1,6,1257,1145,1504,1345,"NW",221,"N590NW",247,240,226,79,72,"MSP","SFO",1589,3,18,0,0,79,0,0
"92",2008,11,1,6,725,700,1056,1038,"NW",736,"N333NB",151,158,126,18,25,"MSP","JFK",1028,10,15,18,0,0,0,0
"93",2008,11,1,6,945,920,1119,1055,"NW",327,"N516US",94,95,75,24,25,"BWI","DTW",408,8,11,24,0,0,0,0
"94",2008,11,1,6,1700,1640,1825,1745,"OH",6438,"N658CA",145,125,91,40,20,"CVG","MSP",596,5,49,20,0,20,0,0
"95",2008,11,1,6,1140,1140,1518,1459,"OH",6650,"N548CA",158,139,112,19,0,"ORD","JFK",740,10,36,0,0,19,0,0
"96",2008,11,1,6,1733,1546,1826,1652,"OO",6471,"N738SK",113,126,96,94,107,"ABQ","LAX",677,6,11,0,0,0,0,94
"97",2008,11,1,6,1301,1038,1346,1121,"OO",5655,"N299SW",45,43,27,145,143,"SFO","SMF",86,4,14,0,0,2,0,143
"98",2008,11,1,6,1012,913,1133,1038,"OO",6595,"N939SW",81,85,58,55,59,"SLC","DEN",391,7,16,55,0,0,0,0
"99",2008,11,1,6,1658,1601,1923,1832,"OO",6386,"N776SK",85,91,62,51,57,"SFO","BOI",522,4,19,0,0,0,0,51
"100",2008,11,1,6,732,711,823,757,"OO",5485,"N216SW",51,46,26,26,21,"PSP","LAX",110,4,21,21,0,5,0,0
"101",2008,11,1,6,2205,2115,32,2358,"OO",5914,"N773SK",87,103,72,34,50,"ORD","SYR",607,4,11,34,0,0,0,0
"102",2008,11,1,6,1640,1439,1720,1525,"OO",5525,"N292SW",40,46,30,115,121,"SMF","SFO",86,5,5,0,0,0,0,115
"103",2008,11,1,6,1038,913,1132,1019,"OO",6752,"N936SW",114,126,95,73,85,"SYR","ORD",607,6,13,0,0,0,0,73
"104",2008,11,1,6,2316,2227,8,2307,"OO",5426,"N292SW",52,40,22,61,49,"SFO","SMF",86,6,24,0,0,12,0,49
"105",2008,11,1,6,1251,1055,1346,1156,"OO",5737,"N298SW",55,61,42,110,116,"SFO","CIC",153,3,10,0,0,0,0,110
"106",2008,11,1,6,1802,1558,2021,1730,"OO",5528,"N564SW",139,92,104,171,124,"PMD","SFO",316,7,28,0,0,50,0,121
"107",2008,11,1,6,1142,1050,1242,1155,"OO",2752,"N507CA",60,65,46,47,52,"DSM","MKE",311,7,7,0,0,0,0,47
"108",2008,11,1,6,1348,1125,1514,1259,"OO",5783,"N218SW",86,94,61,135,143,"SFO","CEC",304,4,21,0,0,0,0,135
"109",2008,11,1,6,707,700,934,915,"OO",5739,"N226SW",147,135,126,19,7,"RDM","SFO",462,7,14,0,0,19,0,0
"110",2008,11,1,6,2028,1800,2250,2010,"OO",5792,"N234SW",142,130,126,160,148,"RDM","SFO",462,4,12,0,0,81,0,79
"111",2008,11,1,6,1851,1609,2049,1807,"OO",6352,"N983SW",118,118,99,162,162,"SFO","TUS",751,5,14,0,0,0,0,162
"112",2008,11,1,6,931,822,1057,1000,"OO",5951,"N917SW",86,98,68,57,69,"ORD","MEM",491,5,13,57,0,0,0,0
"113",2008,11,1,6,1503,1305,1624,1430,"OO",5930,"N707SK",81,85,65,114,118,"SFO","PSP",421,5,11,0,0,0,0,114
"114",2008,11,1,6,1934,1505,2016,1550,"OO",5450,"N586SW",42,45,22,266,269,"SFO","MRY",77,4,16,110,0,0,0,156
"115",2008,11,1,6,649,649,840,807,"OO",5498,"N583SW",111,78,76,33,0,"ACV","SFO",250,23,12,0,0,33,0,0
"116",2008,11,1,6,1701,1440,1759,1546,"OO",5477,"N565SW",58,66,37,133,141,"SFO","FAT",158,2,19,0,0,0,0,133
"117",2008,11,1,6,1339,1317,1526,1503,"OO",6695,"N920SW",107,106,87,23,22,"ELP","DEN",563,6,14,0,0,1,0,22
"118",2008,11,1,6,1751,1757,2013,1956,"OO",6715,"N926SW",142,119,99,17,-6,"DEN","MSO",679,7,36,0,0,17,0,0
"119",2008,11,1,6,720,657,755,740,"OO",5512,"N251YV",35,43,20,15,23,"OXR","LAX",49,5,10,15,0,0,0,0
"120",2008,11,1,6,734,720,908,852,"OO",2870,"N403SW",94,92,69,16,14,"MKE","BNA",475,6,19,12,0,2,0,2
"121",2008,11,1,6,802,740,901,840,"OO",5590,"N284YV",59,60,36,21,22,"SFO","FAT",158,3,20,13,0,0,0,8
"122",2008,11,1,6,1733,1605,1903,1719,"OO",5647,"N582SW",90,74,80,104,88,"SBA","SFO",262,5,5,0,0,104,0,0
"123",2008,11,1,6,1404,1225,1455,1300,"OO",5741,"N292SW",51,35,37,115,99,"MOD","SFO",78,5,9,0,0,27,0,88
"124",2008,11,1,6,1532,1510,1624,1601,"OO",4749,"N441SW",112,111,85,23,22,"SLC","ONT",558,3,24,22,0,1,0,0
"125",2008,11,1,6,1717,1538,1840,1644,"OO",6095,"N976SW",143,126,116,116,99,"SLC","SFO",599,7,20,0,0,98,0,18
"126",2008,11,1,6,1441,1213,1623,1333,"OO",5568,"N234SW",102,80,74,170,148,"SBA","SFO",262,7,21,0,0,163,0,7
"127",2008,11,1,6,1023,915,1130,1025,"OO",2559,"N507CA",67,70,51,65,68,"MKE","DSM",311,3,13,30,0,0,0,35
"128",2008,11,1,6,1318,1158,1436,1308,"UA",749,"N411UA",78,70,61,88,80,"RNO","SFO",192,6,11,0,0,8,0,80
"129",2008,11,1,6,729,730,944,919,"UA",372,"N425UA",135,109,98,25,-1,"PDX","SFO",550,7,30,0,0,25,0,0
"130",2008,11,1,6,1015,955,1307,1234,"UA",139,"N571UA",292,279,261,33,20,"ORD","SFO",1846,8,23,0,0,33,0,0
"131",2008,11,1,6,1543,1510,1807,1655,"UA",1171,"N429UA",144,105,124,72,33,"PDX","SFO",550,6,14,0,0,72,0,0
"132",2008,11,1,6,1149,1040,1341,1209,"UA",1155,"N559UA",112,89,59,92,69,"LAX","SFO",337,12,41,0,0,92,0,0
"133",2008,11,1,6,1813,1814,2001,1936,"UA",1170,"N313UA",108,82,79,25,-1,"LAX","SFO",337,10,19,0,0,25,0,0
"134",2008,11,1,6,1809,1759,2019,1950,"UA",407,"N553UA",190,171,147,29,10,"DEN","SEA",1024,6,37,10,0,19,0,0
"135",2008,11,1,6,1641,1621,1730,1708,"UA",701,"N536UA",109,107,83,22,20,"MCI","DEN",533,12,14,20,0,2,0,0
"136",2008,11,1,6,923,830,1021,927,"UA",1465,"N449UA",118,117,94,54,53,"DEN","LAS",629,7,17,53,0,1,0,0
"137",2008,11,1,6,2048,2005,2153,2120,"UA",1509,"N492UA",65,75,45,33,43,"LAS","LAX",236,6,14,33,0,0,0,0
"138",2008,11,1,6,1916,1759,2116,1938,"UA",595,"N424UA",180,159,148,98,77,"DEN","SFO",967,6,26,0,0,98,0,0
"139",2008,11,1,6,1521,1410,1808,1710,"UA",69,"N546UA",347,360,330,58,71,"LAX","LIH",2615,6,11,58,0,0,0,0
"140",2008,11,1,6,1458,1320,2303,2116,"UA",306,"N558UA",305,296,279,107,98,"LAX","BWI",2329,5,21,98,0,9,0,0
"141",2008,11,1,6,916,835,1038,943,"UA",1177,"N942UA",142,128,123,55,41,"SLC","SFO",599,4,15,0,0,55,0,0
"142",2008,11,1,6,1327,1115,1449,1247,"UA",888,"N526UA",82,92,54,122,132,"SFO","LAX",337,11,17,27,0,0,0,95
"143",2008,11,1,6,915,900,1753,1730,"UA",162,"N435UA",338,330,301,23,15,"LAX","BOS",2611,7,30,15,0,8,0,0
"144",2008,11,1,6,2027,2001,2203,2132,"UA",746,"N454UA",96,91,73,31,26,"SAN","SFO",447,7,16,0,0,31,0,0
"145",2008,11,1,6,1653,1553,2237,2124,"UA",1432,"N472UA",224,211,198,73,60,"DEN","MCO",1545,5,21,56,0,13,0,4
"146",2008,11,1,6,1243,1243,2048,2033,"UA",34,"N666UA",305,290,287,15,0,"OGG","SFO",2338,7,11,0,0,15,0,0
"147",2008,11,1,6,1716,1611,2031,1940,"UA",551,"N423UA",135,149,114,51,65,"SFO","DEN",967,9,12,0,0,0,0,51
"148",2008,11,1,6,1013,1015,1156,1137,"UA",1275,"N854UA",103,82,72,19,-2,"BDL","IAD",326,7,24,0,0,19,0,0
"149",2008,11,1,6,900,830,1145,1120,"UA",382,"N933UA",105,110,89,25,30,"ORD","IAD",589,5,11,0,25,0,0,0
"150",2008,11,1,6,1103,1004,1638,1535,"UA",1632,"N480UA",215,211,193,63,59,"DEN","MCO",1545,7,15,0,0,4,0,59
"151",2008,11,1,6,1540,1547,1739,1715,"UA",104,"N854UA",119,88,81,24,-7,"SAN","SFO",447,15,23,0,0,24,0,0
"152",2008,11,1,6,1427,1352,2014,1939,"UA",200,"N592UA",227,227,204,35,35,"SEA","ORD",1721,9,14,0,0,0,35,0
"153",2008,11,1,6,1301,1234,1542,1445,"UA",55,"N552UA",161,131,115,57,27,"SEA","SFO",679,7,39,0,0,57,0,0
"154",2008,11,1,6,1853,1812,2235,2155,"UA",179,"N435UA",402,403,377,40,41,"BOS","SFO",2704,9,16,24,0,0,0,16
"155",2008,11,1,6,1933,1745,2059,1920,"US",886,"N505AU",86,95,71,99,108,"CLT","PHL",448,2,13,82,0,0,0,17
"156",2008,11,1,6,2325,2215,56,2351,"US",1586,"N929UW",91,96,61,65,70,"CLT","PHL",448,9,21,65,0,0,0,0
"157",2008,11,1,6,2348,2330,632,605,"US",1622,"N167US",284,275,273,27,18,"SEA","CLT",2279,4,7,18,0,9,0,0
"158",2008,11,1,6,925,935,1107,1049,"US",103,"N654AW",102,74,47,18,-10,"LAS","LAX",236,32,23,0,0,18,0,0
"159",2008,11,1,6,1738,1650,2019,1921,"US",745,"N177US",341,331,307,58,48,"CLT","SFO",2296,4,30,0,0,58,0,0
"160",2008,11,1,6,931,940,1411,1240,"US",1545,"N200UU",460,360,343,91,-9,"PHL","SEA",2378,43,74,0,0,91,0,0
"161",2008,11,1,6,1224,1140,1454,1426,"US",291,"N674AW",150,166,118,28,44,"LAS","SEA",866,9,23,0,0,0,0,28
"162",2008,11,1,6,1157,1200,1502,1446,"US",1563,"N449US",185,166,151,16,-3,"PHL","FLL",992,5,29,0,0,16,0,0
"163",2008,11,1,6,1622,1625,1934,1910,"US",730,"N449US",192,165,150,24,-3,"FLL","PHL",992,10,32,0,0,24,0,0
"164",2008,11,1,6,1511,1345,2245,2125,"US",1483,"N119US",274,280,254,80,86,"SFO","PIT",2254,5,15,0,0,0,0,80
"165",2008,11,1,6,1611,1600,1723,1707,"US",321,"N828AW",72,67,46,16,11,"PHX","LAS",256,7,19,11,0,5,0,0
"166",2008,11,1,6,1942,1915,2227,2205,"WN",2897,"N607SW",105,110,88,22,27,"MDW","RDU",632,5,12,7,0,0,0,15
"167",2008,11,1,6,2036,1940,2235,2155,"WN",2653,"N483WN",119,135,109,40,56,"PHX","SFO",651,4,6,0,0,40,0,0
"168",2008,11,1,6,2051,2030,2223,2200,"WN",2380,"N796SW",92,90,81,23,21,"SAN","SFO",447,4,7,0,0,23,0,0
"169",2008,11,1,6,1115,1045,1220,1155,"WN",2959,"N456WN",65,70,40,25,30,"LAX","LAS",236,6,19,20,0,0,0,5
"170",2008,11,1,6,1748,1700,1749,1705,"WN",1588,"N519SW",61,65,44,44,48,"LBB","ABQ",289,4,13,0,0,0,0,44
"171",2008,11,1,6,1936,1715,2226,2000,"WN",2724,"N395SW",170,165,156,146,141,"MCO","MHT",1142,4,10,1,0,5,0,140
"172",2008,11,1,6,1322,1310,1903,1845,"WN",2326,"N410WN",221,215,204,18,12,"ABQ","BWI",1670,4,13,6,0,6,0,6
"173",2008,11,1,6,1117,920,1244,1035,"WN",1909,"N298WN",87,75,70,129,117,"LAX","SFO",337,3,14,0,0,129,0,0
"174",2008,11,1,6,1624,1605,1747,1710,"WN",2815,"N428WN",83,65,72,37,19,"DAL","LBB",293,3,8,0,0,37,0,0
"175",2008,11,1,6,1209,1155,1905,1850,"WN",2784,"N432WN",236,235,217,15,14,"LAS","CMH",1772,4,15,14,0,1,0,0
"176",2008,11,1,6,1428,1310,1627,1510,"WN",2912,"N625SW",119,120,97,77,78,"SFO","PHX",651,8,14,50,0,0,0,27
"177",2008,11,1,6,1404,1345,1627,1610,"WN",1822,"N766SW",83,85,70,17,19,"BNA","RDU",443,5,8,2,0,0,0,15
"178",2008,11,1,6,1522,1315,2037,1850,"WN",1201,"N298WN",195,215,183,107,127,"LAS","MDW",1521,2,10,0,0,0,0,107
"179",2008,11,1,6,1500,1415,1656,1605,"WN",2510,"N370SW",116,110,103,51,45,"HOU","BNA",670,5,8,45,0,6,0,0
"180",2008,11,1,6,1554,1555,1754,1730,"WN",2795,"N633SW",180,155,167,24,-1,"DEN","OAK",957,3,10,0,0,24,0,0
"181",2008,11,1,6,1628,1525,1909,1825,"WN",2324,"N430WN",101,120,84,44,63,"LAS","DEN",629,5,12,0,0,0,0,44
"182",2008,11,1,6,958,950,1248,1230,"WN",2988,"N484WN",110,100,85,18,8,"PHX","DEN",602,8,17,7,0,10,0,1
"183",2008,11,1,6,1949,1830,2241,2130,"WN",1966,"N795SW",112,120,97,71,79,"MDW","ORF",704,3,12,71,0,0,0,0
"184",2008,11,1,6,1016,1000,1406,1345,"XE",2891,"N14171",170,165,149,21,16,"IAH","PIT",1117,8,13,16,0,5,0,0
"185",2008,11,1,6,1925,1855,2215,2128,"XE",2848,"N14198",170,153,131,47,30,"IAH","MKE",984,4,35,0,0,17,30,0
"186",2008,11,1,6,1917,1740,2113,1925,"XE",2194,"N13955",176,165,144,108,97,"GSO","IAH",986,6,26,97,0,11,0,0
"187",2008,11,1,6,1536,1540,1747,1717,"XE",1291,"N13997",131,97,59,30,-4,"BOS","EWR",200,9,63,0,0,30,0,0
"188",2008,11,1,6,1625,1518,1818,1724,"YV",7060,"N75998",53,66,36,54,67,"ORD","TVC",224,4,13,54,0,0,0,0
"189",2008,11,1,6,1228,1223,1427,1404,"YV",7332,"N506MJ",119,101,82,23,5,"IAD","SAV",515,5,32,23,0,0,0,0
"190",2008,11,1,6,1918,1838,2009,1931,"YV",7244,"N570ML",51,53,27,38,40,"IAD","MDT",94,5,19,0,0,0,0,38
